type	species	n_pairs	n_ge99	pct_ge99
Milk kefir	Clostridium_B tyrobutyricum	6	6	100
Milk kefir	Enterococcus faecalis	60	60	100
Milk kefir	Flavobacterium frigidarium	15	15	100
Milk kefir	Hafnia paralvei	45	45	100
Milk kefir	Klebsiella_A grimontii	126	126	100
Milk kefir	Lactobacillus helveticus	3397	3397	100
Milk kefir	Lactobacillus kefiranofaciens	11319	11319	100
Milk kefir	Lactococcus raffinolactis	480	480	100
Milk kefir	Lentilactobacillus kefiri	18816	18816	100
Milk kefir	Lentilactobacillus parakefiri	4	4	100
Milk kefir	Leuconostoc citreum	60	60	100
Milk kefir	Macrococcus_B caseolyticus	28	28	100
Milk kefir	Massilibacillus massiliensis	6	6	100
Milk kefir	Pseudomonas_E sp001320045	6	6	100
Milk kefir	Pseudomonas_E sp003852405	6	6	100
Milk kefir	Streptococcus parauberis	66	66	100
Milk kefir	Streptococcus thermophilus	6	6	100
Milk kefir	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	463	463	100
Milk kefir	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lentilactobacillus;s__	192	192	100
Milk kefir	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__	54	54	100
Milk kefir	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acetobacter;s__	32	32	100
Milk kefir	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Superficieibacter;s__	4	4	100
Milk kefir	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__	7	7	100
Milk kefir	Acetobacter fabarum	3696	3654	98.86363636363636
Milk kefir	Acetobacter orientalis	364	312	85.71428571428571
Milk kefir	Carnobacterium maltaromaticum	30	25	83.33333333333333
Milk kefir	Leuconostoc mesenteroides	2210	1810	81.90045248868778
Milk kefir	Pseudomonas_E fragi_B	84	66	78.57142857142857
Milk kefir	Rahnella aquatilis_B	9	7	77.77777777777777
Milk kefir	Escherichia coli_D	10	6	60
Milk kefir	Clostridium beijerinckii	60	31	51.666666666666664
Milk kefir	Thermus parvatiensis	91	47	51.64835164835165
Milk kefir	Lelliottia amnigena	40	19	47.5
Milk kefir	Acinetobacter albensis	15	7	46.666666666666664
Milk kefir	Citrobacter freundii	45	21	46.666666666666664
Milk kefir	Pantoea agglomerans	33	15	45.45454545454545
Milk kefir	Pseudomonas_E helleri	33	15	45.45454545454545
Milk kefir	Lactococcus piscium_C	120	47	39.166666666666664
Milk kefir	Pseudomonas_E putida	65	25	38.46153846153846
Milk kefir	Lactococcus lactis	4386	1562	35.61331509347925
Milk kefir	Leclercia adecarboxylata	3	1	33.333333333333336
Milk kefir	Paenibacillus sp001955855	6	2	33.333333333333336
Milk kefir	Serratia liquefaciens	9	3	33.333333333333336
Milk kefir	Bacillus_A wiedmannii	24	6	25
Milk kefir	Pseudomonas_E brenneri_B	4	1	25
Milk kefir	Pseudomonas_E proteolytica_A	4	1	25
Milk kefir	Raoultella terrigena	16	4	25
Milk kefir	Escherichia flexneri	5	1	20
Milk kefir	Lactococcus lactis_E	3096	611	19.73514211886305
Milk kefir	Acinetobacter johnsonii	26	4	15.384615384615385
Milk kefir	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Kluyvera;s__	24	3	12.5
Milk kefir	d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__	21	2	9.523809523809524
Milk kefir	Bacillus_A mycoides	48	4	8.333333333333334
Milk kefir	Pseudomonas_E fragi	14	1	7.142857142857143
Milk kefir	Leuconostoc pseudomesenteroides	30	2	6.666666666666667
Milk kefir	Leuconostoc pseudomesenteroides_A	15	1	6.666666666666667
Milk kefir	Pseudomonas_E sp002966775	22	1	4.545454545454546
Milk kefir	Kluyvera cryocrescens	8	0	0
Milk kefir	Pseudomonas_E lundensis	4	0	0
Water kefir	Acetobacter papayae	15	15	100
Water kefir	Acetobacter syzygii	7749	7749	100
Water kefir	Agrobacterium sp900013535	15	15	100
Water kefir	Bifidobacterium aquikefiri	3003	3003	100
Water kefir	Bifidobacterium psychraerophilum	190	190	100
Water kefir	Brevundimonas mediterranea	15	15	100
Water kefir	Brochothrix thermosphacta	15	15	100
Water kefir	Caulobacter sp002742645	15	15	100
Water kefir	Chryseobacterium mucoviscidosis	6	6	100
Water kefir	Comamonas acidovorans	6	6	100
Water kefir	Comamonas testosteroni_B	15	15	100
Water kefir	Klebsiella_A grimontii	54	54	100
Water kefir	Komagataeibacter hansenii	612	612	100
Water kefir	Lactobacillus kefiranofaciens	147	147	100
Water kefir	Lentilactobacillus hilgardii	24530	24530	100
Water kefir	Leuconostoc citreum	60	60	100
Water kefir	Leuconostoc gelidum	6	6	100
Water kefir	Liquorilactobacillus nagelii	35	35	100
Water kefir	Liquorilactobacillus satsumensis	20300	20300	100
Water kefir	Methylobacterium aquaticum	8	8	100
Water kefir	Microbacterium hominis	28	28	100
Water kefir	Microbacterium sp000411455	6	6	100
Water kefir	Oenococcus oeni	153	153	100
Water kefir	Pseudescherichia vulneris	6	6	100
Water kefir	Pseudomonas_E rhodesiae	28	28	100
Water kefir	Schleiferilactobacillus perolens	364	364	100
Water kefir	Sphingobium sp003609795	15	15	100
Water kefir	Sphingomonas aurantiaca	6	6	100
Water kefir	Sphingomonas sp002292295	6	6	100
Water kefir	Zymomonas mobilis	4753	4753	100
