sample,(E)-Citral,1-Hydroxy-2-propanone,1-Propanol,"1,3-Di-tert-butylbenzene  (Benzene, 1,3-bis(1,1-dimethylethyl)-)","1,3-Pentadiene (piperylene)",2-Butanone,2-Ethyl-1-hexanol,2-Heptanone,2-Hexanone,2-Methyl-1-butanol,2-Methyl-1-propanol (isobutanol),2-Methylbutyl acetate,2-Methylfuran,2-Methylpropanal,2-Methylpropanal (Isobutyraldehyde),2-Methylpropanoic acid (isobutryic acid),2-Nonanone,2-Pentanone,2-Phenylethanol (Phenylethyl alcohol),"2,3-Butanedione","2,3-Heptanedione","2,5-Dimethylfuran",3-Methyl-1-butanol (isoamyl alcohol),3-Methylbutanal (Isovaleraldehyde),3-Methylbutanoic acid (Isovaleric acid),4-Ethylguaiacol,4-Methyl-2-heptanone,5-Methylfurfural,Acetaldehyde,Acetic acid,Acetoin,Acetone,Acetophenone,Benzaldehyde,Benzeneacetaldehyde (Phenylacetaldehyde),Butanoic acid,D-Limonene,Decanoic acid,Diethyl acetal,Dimethyl disulfide,Ethanol,Ethyl 2-methylbutanoate,Ethyl acetate,Ethyl benzeneacetate,Ethyl benzoate,Ethyl butanoate,Ethyl decanoate,Ethyl dodecanoate,Ethyl ether,Ethyl heptanoate,Ethyl hexanoate,Ethyl lactate,Ethyl nonanoate,Ethyl octanoate,Ethyl propanoate,Ethyl tetradecanoate,Ethyl trans-4-decenoate,Furfural,Heptanal,Heptane,Hexanal,Hexane,Hexanoic acid,Isoamyl acetate,Isoamyl octanoate,Isobutyl octanoate,Isovaleric acid,Methyl acetate,Methyl butanoate,Methyl decanoate,Methyl dodecanoate,Methyl hexanoate,Methyl Isobutyl Ketone,Nonanal,Nonanoic acid,o-xylene,Octanal,Octanoic acid,p-Xylene,Styrene,Toluene,?-Pinene,?-Damascenone,?-Phenylethyl acetate
WK056-2-L-08h,6883,0,0,10092,1080429,0,7336.333333,6886,0,887900.6667,187713,0,0,20960,37361.66667,85143.66667,0,0,69310.33333,0,95186.33333,0,4876753.667,0,10965.33333,3083.666667,0,0,0,1977378,37814,0,4158,16212.33333,5963.666667,0,0,0,0,2905,8227876,0,1207013.333,0,6748.666667,11478,125587.6667,2075.666667,0,9259.666667,51136.66667,0,17565.33333,733098.6667,0,0,0,1459,8950.333333,107591.6667,0,0,62598.66667,264541.3333,0,0,150709.3333,0,0,23789,2012.333333,9581.333333,0,59679.33333,6891.666667,8900,6834.333333,45124.33333,21359.33333,80281.66667,14433.33333,3293.666667,9280.666667,8008.666667
WK056-2-L-48h,31256.66667,0,0,17396.33333,154564.3333,0,0,0,0,1627753.667,412222.3333,0,0,0,0,274452.3333,0,0,884923.6667,0,0,0,8852746,0,69759.33333,1923.666667,0,0,0,5759272,137018.6667,0,8570.666667,4633,18136,96273.66667,0,34429.33333,0,0,5873100.667,27343,3476470.667,0,4803,0,299712.6667,7823.333333,0,50009,612189,0,49355,4058356.667,0,0,0,0,0,0,0,0,302648.3333,741514,18477,0,507787.6667,0,0,31965.66667,0,0,0,92858,60295,0,8572.333333,1088594.667,1394.666667,9047.333333,0,0,31471.66667,167387.3333
WK057-2-L-08h,6709.333333,0,0,13013.66667,1500650.667,0,0,7038.666667,0,1328453.667,258476.3333,0,0,31262.66667,37259,44637.66667,8179.333333,0,155641.3333,146819,60658.66667,0,5590103,12404.33333,7847.666667,7378.333333,0,0,88617.66667,1120054,44648,0,3983,47293,12052.66667,0,0,0,0,2296.666667,8615045.667,31311.33333,824549,0,5536,22519.66667,109442.3333,18334,0,6721.666667,279826,0,31470.66667,337459,6496.666667,7349,0,4508,9697.666667,74871,0,0,21639.33333,136116.3333,3486,0,24072.66667,0,0,27234.33333,5278,11326,0,66486.33333,0,0,8185,15771,11652.66667,203153.3333,7677.666667,1447.333333,7912.666667,9346
WK057-2-L-48h,0,0,0,7399,434267.6667,0,0,0,0,5130940.333,1103737.333,0,0,0,0,269765.6667,0,0,3242913.333,0,0,0,12682982.33,0,155855.6667,74805.66667,0,0,0,4096409.667,204248.6667,0,6824.666667,30998.66667,27889.33333,0,0,91537.33333,109813,0,0,232451,6922375.333,25981.33333,0,74196,1838174.333,100775,0,169693.6667,3360331,0,671863,20306274,0,52599,0,0,0,0,0,0,617377.3333,903583.3333,236852.6667,30897.33333,289725.3333,0,0,106653.3333,0,0,0,138425.3333,113747.3333,0,13245,2453595,0,58700,0,0,82669,3232010.667
WK064-2-L-08h,4058.5,0,4518,19667.5,905654,0,0,34378.5,0,1108249.5,257279,0,0,33483,64325,0,0,83155,134032,393392.5,104623,5492,6346500,0,0,4068.5,43326.5,0,0,1435246.5,125226,0,6794,40863.5,4784,0,0,0,0,3094.5,8790495.5,0,819690,0,10511.5,20037.5,47356,3293,0,0,35868,0,6009.5,183504.5,0,0,0,16990.5,15575,127415,0,0,44382,133290.5,0,0,49213,0,0,24148.5,0,7820,0,87544.5,0,16596.5,11747.5,10335,25434.5,46227,0,3096,26636,0
WK064-2-L-48h,25954,0,0,25149.33333,189362.3333,0,0,8585.666667,0,2095574.667,437343,0,0,0,0,109594.3333,0,0,1493994.667,0,0,0,9207288,5291.666667,55902.33333,2473.333333,0,0,0,3620335.667,330054.6667,0,968.6666667,0,26407,10017,0,14649.33333,0,0,8793561.333,43020,1204115,0,5987.333333,13990.66667,219895,4207,0,62713.33333,477287.6667,0,58692.33333,5106382.667,0,0,0,0,0,0,0,0,214292.6667,601489,12083.33333,0,447158.6667,0,0,19759,0,0,0,91128.33333,45391,2094.666667,10593,642560,4239.333333,12476.66667,3145,0,28636.66667,98220.66667
WK065-2-L-08h,0,17165,0,31141.66667,0,75400,33165.33333,14066.66667,0,205321,112047.6667,0,4204.666667,73265,96466.66667,0,0,49388.33333,45161.33333,450478.3333,13108,4403.333333,1650688.667,0,0,2134.666667,3654.333333,5492,0,559903.3333,82978.66667,207058.6667,4322.666667,141552,12635.33333,0,424,0,0,6665,2811853,0,102186,0,5068.666667,0,0,0,21251,0,0,0,0,12063.66667,0,0,0,13612.66667,4187,174631.3333,0,0,3311.333333,0,0,0,19109,85632,0,0,0,2026.666667,0,33965.66667,0,4097.666667,4827.333333,0,4193.333333,1674,6654.666667,0,9409.333333,0
WK065-2-L-48h,0,0,0,21150.66667,0,0,0,20238.33333,0,1689902.333,1340274.667,0,0,95822.33333,55753,1016131,0,0,1015078.667,261986.6667,41292,4799,7957798.333,0,248667.3333,3250.666667,0,0,0,2097097,146622.6667,63840.33333,9146,25820.66667,16150.66667,1565499.333,0,0,0,0,8315050.333,0,89039,0,5607.333333,39410,0,0,0,0,0,0,0,10875.33333,0,0,0,0,6170.666667,57165,0,0,55662.33333,96120,0,0,991784.3333,0,0,0,0,0,0,50341.33333,24132,0,6663.333333,47771.66667,1323.666667,0,1828,0,27248.33333,7415.333333
WK067-2-L-08h,18102.33333,92238,0,37535.33333,1846491.333,34277,147605.6667,29593,0,3601366.667,636588,0,8525,83851.33333,236198.6667,0,0,0,128701.3333,101710.3333,687487,20235.33333,12498880,0,0,5429,0,0,0,892014.6667,138205,0,8093.333333,64709,24631,0,0,0,0,12825,16031170,0,1262382,0,11690.33333,10293.66667,64057,0,14524,0,17206.33333,0,4381.666667,123061.3333,0,0,0,14683.66667,8904.333333,572893.3333,0,0,14623.66667,243259.6667,0,0,44436.33333,46487,0,15793.33333,0,21492,0,72557.33333,0,0,13676.33333,0,9606,341121.3333,22592,0,25066.66667,5548
WK067-2-L-48h,0,0,0,14104.66667,350497.3333,0,26366,17288.66667,0,5883611,753766,115239.6667,0,0,0,248039.6667,0,0,2105206.667,102715.6667,0,49879.66667,13736606,19301.33333,216803.3333,4237,0,0,0,9850218.667,555067.6667,0,14778.33333,29980,28518.33333,0,0,69808.33333,0,0,20742868,0,1759521.667,0,9545.666667,0,143157.6667,0,0,0,142606.6667,0,46323.33333,888194.3333,19475.33333,0,0,0,17740,0,0,0,352084,501936.6667,0,0,2360636,0,0,0,0,0,0,131103,132991.3333,0,23147.33333,1751316.333,0,84086.33333,0,0,75653.66667,119244.6667
WK068-2-L-08h,9447.5,74292.5,0,25369.5,452921.5,0,0,23570,0,2748719,490367,0,0,57204,207192.5,0,0,0,399253.5,0,545943.5,4129.5,11323989,0,0,4551.5,0,7324.5,0,138978,40919,0,7272,87511.5,206840.5,0,1374.5,0,0,4006,19758390,0,577590,0,8246,9239,25667,0,0,0,17515.5,0,0,82535.5,0,0,0,23946.5,22074,113658.5,24750.5,0,0,67809,0,0,0,0,0,8036.5,0,11642.5,0,104964.5,0,0,14937,0,0,109160.5,0,0,18160,0
WK068-2-L-48h,0,0,0,11476,144696,0,0,14748.33333,0,9695639,1431108,0,0,0,72345.66667,345402.6667,0,0,5460384.667,0,95458.33333,14887.66667,27363305.67,0,321005.3333,6184.333333,0,0,303741,6312427,0,0,25405,518634.6667,51193.33333,0,0,31579,127432.3333,0,0,0,2283644,0,11426.33333,0,411404.3333,4897,0,0,497849.6667,0,60246.33333,2820698.333,50798.66667,0,0,0,0,97063.66667,0,0,453817.3333,373081,0,0,441643.3333,0,0,2934,0,0,0,111042,90258,0,17573.33333,1778151.667,0,92913,0,0,85416.33333,105231
