Class,Compound,CAS,LRI,Ref RI,Reference odour descriptor,MCc0h,MCc8h,MCc48h,4c8h,4c48h,5b8h,5b48h,7c8h,7c48h,37b8h,37b48h,40b8h,40b48h,41b8h,41b48h,42b8h,42b48h,46b8h,46b48h,49b8h,49b48h,56b8h,56b48h,57b8h,57b48h,64b8h,64b48h,65b8h,65b48h,67b8h,67b48h,68b8h,68b48h,01T0ha,18T0ha,01T2ha,18T2ha,01T4ha,18T4ha,01T8ha,18T8ha,01T16ha,18T16ha,01T48ha,18T48ha,MCT0ha
Benzene,Styrene,100-42-5,927,929,plastic,6262,6720,3167,140473,24414,184955,26515,88416,34576,10806,815,2680,0,164111,51763,1383,0,368107,20386,2974,0,80282,9047,203153,58700,46227,12477,1674,0,341121,84086,109161,92913,14153,15869,70885,23005,65898,47147,166217,78261,365750,91292,225068,34867,5827
Benzene,"1,3-Di-tert-butylbenzene  (Benzene, 1,3-bis(1,1-dimethylethyl)-)  ",1014-60-4,1284,1286,,46758,42992,44613,37751,43628,22789,15887,46343,30190,12983,14154,11713,16614,13189,16596,18271,29287,28770,25299,29634,2308,10092,17396,13014,7399,19668,25149,31142,21151,37535,14105,25370,11476,61805,50259,51813,184255,101648,114311,118365,100007,75268,69168,118417,111996,114393
Ester,Methyl acetate,79-20-9,554,552,"etheral, sweet, fruity, rummy",356831,306631,201290,95448,0,153715,0,252520,0,122688,0,177411,0,0,0,0,0,0,0,175025,0,0,0,0,0,0,0,85632,0,46487,0,0,0,704131,593916,635624,564236,572013,488396,486368,235026,272208,0,0,0,868985
Ester,Ethyl acetate,141-78-6,640,642,"fruity, pineapple, apples, weedy, green",89659,87042,104173,4740400,12967198,1713380,3286371,606715,1725717,851121,6465317,5762246,8620981,2000115,8715471,2370718,19623656,3654186,7443113,394408,306927,1207013,3476471,824549,6922375,819690,1204115,102186,89039,1262382,1759522,577590,2283644,601374,4028866,1041422,9026442,1339163,8140866,1682851,8333043,1672149,8041847,3204702,83980955,156020
Ester,Ethyl propanoate,105-37-3,735,737,"pineapple, solvent, fruity",0,0,0,0,38063,45163,56177,0,33049,0,27914,46834,62200,38564,90339,9582,66461,20837,10003,0,0,0,0,6497,0,0,0,0,0,0,19475,0,50799,0,0,0,39553,0,55254,33163,61501,0,0,38440,146441,0
Ester,Methyl butanoate,623-42-7,748,754,"fruity, apple, banana",0,0,41524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ester,n-Propyl acetate,109-60-4,738,743,"pineapple, bananna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160796,0
Ester,Ethyl butanoate,105-54-4,824,826,"fruity, buttery, green, apple, pineapple, banana, sweet",26420,28524,28273,32858,0,39552,73363,2975,0,13880,113563,12777,0,14161,0,29125,339507,24769,0,0,41606,11478,0,22520,74196,20038,13991,0,39410,10294,0,9239,0,10277,12558,10805,9935,5675,12246,3174,11515,0,25444,18671,0,6595
Ester,Ethyl lactate,97-64-3,865,862,"fruity, buttery, butterscotch",0,0,0,0,0,0,0,13276,0,0,0,0,0,0,870433,0,0,0,336257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22222
Ester,Ethyl 2-methylbutanoate,7452-79-1,873,872,"fruity, estery, berry, fresh, tropical",0,0,0,0,0,0,0,0,23403,24974,832111,0,3131,0,30847,148440,1715011,0,8955,5119,0,0,27343,31311,232451,0,43020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ester,Isoamyl acetate,123-92-2,901,902,"banana, sweet, pear, apple peel",0,0,0,471352,4336470,488362,866506,6453,304431,0,495745,147237,898969,224128,1884632,7054,205769,590595,968665,0,672235,264541,741514,136116,903583,133291,601489,0,96120,243260,501937,67809,373081,0,0,0,34255,40088,50799,74537,54562,382146,188554,1564674,2644262,0
Ester,2-Methylbutyl acetate,624-41-9,905,906,"over ripe fruit, sweet, banana",0,0,0,0,0,0,0,0,0,0,0,0,309339,0,0,0,348769,0,0,0,166549,0,0,0,0,0,0,0,0,0,115240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ester,Methyl hexanoate,106-70-7,949,949,"fruity, pineapple, tropical",22248,17651,3301,23205,13124,36583,26022,20576,0,17511,46633,14975,0,10263,0,16877,58503,14870,0,0,0,9581,0,11326,0,7820,0,2027,0,21492,0,11643,0,55396,47977,50712,46008,44442,32142,40597,10951,38912,0,29464,0,47543
Ester,Ethyl hexanoate,123-66-0,1021,1024,"fruity, pinneaple, waxy, fatty, banana, fresh",0,0,0,63111,873476,440701,4177680,8856,194384,43588,3474764,18921,0,156658,1213216,262438,10469562,103352,477984,10017,0,51137,612189,279826,3360331,35868,477288,0,0,17206,142607,17516,497850,3738,3739,0,5611,0,13521,2604,24936,68747,83852,686010,574657,0
Ester,Ethyl heptanoate*,106-30-9,1122,," banana, berry, cognac, green, seedy",0,0,0,0,0,0,0,0,0,0,134368,0,0,32308,139067,17157,89250,0,35659,0,0,9260,50009,6722,169694,0,62713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ester,Ethyl octanoate,106-32-1,1220,1222,"fruity, apple, green, fatty, orange, winey, soapy",8611,0,0,276239,4761264,481319,11804783,0,943360,71997,3639483,196436,3224586,1837194,24845246,287154,25625241,1309296,11574358,13336,33033,733099,4058357,337459,20306274,183505,5106383,12064,10875,123061,888194,82536,2820698,12269,0,0,0,0,17581,0,30168,455279,590805,4155547,8489946,9713
