sample_to,samples_from,beta_diversity_values,id.to,kefir type.to,Stage.to,data_source.to,id_old.to,observations.to,category_confirmed.to,id.from,kefir type.from,Stage.from,data_source.from,id_old.from,observations.from,category_confirmed.from,same_time
TG_ID084_WG_T6_S133,TG_ID084_WG_T5_S41,0.14100519852849,ID084,WG,wk17,This study,ID084,NA,White sugar-dried apricot,ID084,WG,wk21,This study,ID084,NA,White sugar-dried apricot,wk17 - wk21
TG_ID092_WG_T6_S80,TG_ID092_WG_T5_S82,0.886186949680012,ID092,WG,wk17,This study,ID092,NA,White sugar-dried apricot,ID092,WG,wk21,This study,ID092,NA,White sugar-dried apricot,wk17 - wk21
TG_ID107_WG_T6_S108,TG_ID107_WG_T5_S107,0.467732258730327,ID107,WG,wk17,This study,ID107,NA,White sugar-dried apricot,ID107,WG,wk21,This study,ID107,NA,White sugar-dried apricot,wk17 - wk21
TG_ID110_WG_T6_S92,TG_ID110_WG_T5_S22,0.232563594851796,ID110,WG,wk17,This study,ID110,It is bubbeling,White sugar-dried fig,ID110,WG,wk21,This study,ID110,NA,White sugar-dried fig,wk17 - wk21
TG_ID113_WG_T6_S100,TG_ID113_WG_T5_S19,0.0382687725679824,ID113,WG,wk17,This study,ID113,It looks unchanged,Brown sugar-None,ID113,WG,wk21,This study,ID113,It looks unchanged,Brown sugar-None,wk17 - wk21
TG_ID011_ML_T6_S52,TG_ID011_ML_T5_S122,0.324705088930842,ID011,ML,wk17,This study,ID011,Looks unchanged,Cow milk (whole),ID011,ML,wk21,This study,ID011,The milk has thickened,Cow milk (whole),wk17 - wk21
TG_ID036_ML_T6_S8,TG_ID036_ML_T5_S149,0.746386333885112,ID036,ML,wk17,This study,ID036,Looks unchanged,Goat,ID036,ML,wk21,This study,ID036,The milk has thickened,Goat,wk17 - wk21
TG_ID037_ML_T6_S81,TG_ID037_ML_T5_S57,0.653681840056561,ID037,ML,wk17,This study,ID037,The milk has separated (whey & curds),Goat,ID037,ML,wk21,This study,ID037,The milk has separated (whey & curds),Goat,wk17 - wk21
TG_ID048_ML_T6_S55,TG_ID048_ML_T5_S31,0.907938430434144,ID048,ML,wk17,This study,ID048,NA,Goat,ID048,ML,wk21,This study,ID048,NA,Goat,wk17 - wk21
TG_ID049_ML_T6_S33,TG_ID049_ML_T5_S139,0.928494400624174,ID049,ML,wk17,This study,ID049,The milk has thickened,Cow milk (skim),ID049,ML,wk21,This study,ID049,The milk has separated (whey & curds),Cow milk (skim),wk17 - wk21
TG_ID050_ML_T6_S179,TG_ID050_ML_T5_S168,0.724983438647942,ID050,ML,wk17,This study,ID050,The milk has separated (whey & curds),Cow milk (skim),ID050,ML,wk21,This study,ID050,NA,Cow milk (skim),wk17 - wk21
TG_ID053_ML_T6_S115,TG_ID053_ML_T5_S114,0.46213076515056,ID053,ML,wk17,This study,ID053,Looks unchanged,Goat,ID053,ML,wk21,This study,ID053,NA,Goat,wk17 - wk21
TG_ID054_ML_T6_S34,TG_ID054_ML_T5_S10,0.0403078769380301,ID054,ML,wk17,This study,ID054,The milk has separated (whey & curds),Cow milk (whole),ID054,ML,wk21,This study,ID054,The milk has separated (whey & curds),Cow milk (whole),wk17 - wk21
TG_ID115_ML_T6_S127,TG_ID115_ML_T5_S126,0.401131014590633,ID115,ML,wk17,This study,ID115,NA,Cow milk (low fat),ID115,ML,wk21,This study,ID115,The milk has thickened,Cow milk (low fat),wk17 - wk21
TG_ID124_ML_T6_S119,TG_ID124_ML_T5_S161,0.923360732544589,ID124,ML,wk17,This study,ID124,The milk has thickened,Cow milk (low fat),ID124,ML,wk21,This study,ID124,NA,Cow milk (low fat),wk17 - wk21
TG_ID011_MG_T6_S40,TG_ID011_MG_T5_S110,0.0520618475284605,ID011,MG,wk17,This study,ID011,Looks unchanged,Cow milk (whole),ID011,MG,wk21,This study,ID011,The milk has thickened,Cow milk (whole),wk17 - wk21
TG_ID036_MG_T6_S91,TG_ID036_MG_T5_S137,0.101399989954264,ID036,MG,wk17,This study,ID036,Looks unchanged,Goat,ID036,MG,wk21,This study,ID036,The milk has thickened,Goat,wk17 - wk21
TG_ID037_MG_T6_S69,TG_ID037_MG_T5_S45,0.75578708234702,ID037,MG,wk17,This study,ID037,The milk has separated (whey & curds),Goat,ID037,MG,wk21,This study,ID037,The milk has separated (whey & curds),Goat,wk17 - wk21
TG_ID048_MG_T6_S43,TG_ID048_MG_T5_S19,0.0431580542240803,ID048,MG,wk17,This study,ID048,NA,Goat,ID048,MG,wk21,This study,ID048,NA,Goat,wk17 - wk21
TG_ID049_MG_T6_S134,TG_ID049_MG_T5_S127,0.0227602741889514,ID049,MG,wk17,This study,ID049,The milk has thickened,Cow milk (skim),ID049,MG,wk21,This study,ID049,The milk has separated (whey & curds),Cow milk (skim),wk17 - wk21
TG_ID050_MG_T6_S395,TG_ID050_MG_T5_S390,0.0921791077858723,ID050,MG,wk17,This study,ID050,The milk has separated (whey & curds),Cow milk (skim),ID050,MG,wk21,This study,ID050,NA,Cow milk (skim),wk17 - wk21
TG_ID053_MG_T6_S91,TG_ID053_MG_T5_S90,0.272137927361384,ID053,MG,wk17,This study,ID053,Looks unchanged,Goat,ID053,MG,wk21,This study,ID053,NA,Goat,wk17 - wk21
TG_ID054_MG_T6_S22,TG_ID054_MG_T5_S93,0.0572643367593733,ID054,MG,wk17,This study,ID054,The milk has separated (whey & curds),Cow milk (whole),ID054,MG,wk21,This study,ID054,The milk has separated (whey & curds),Cow milk (whole),wk17 - wk21
TG_ID124_MG_T6_S101,TG_ID124_MG_T5_S138,0.0950958919639854,ID124,MG,wk17,This study,ID124,The milk has thickened,Cow milk (low fat),ID124,MG,wk21,This study,ID124,NA,Cow milk (low fat),wk17 - wk21
TG_ID125_MG_T6_S103,TG_ID125_MG_T5_S102,0.196690109092443,ID125,MG,wk17,This study,ID125,The milk has separated (whey & curds),Goat,ID125,MG,wk21,This study,ID125,Looks unchanged,Goat,wk17 - wk21
